state	rank	sq mi	km²	Rank	sq mi	km²	 % land	Rank	sq mi	km²	 % water
Alabama	30	52420	135767	28	50645	131171	1	23	1775	4597	0
Alaska	1	665384	1723337	1	570641	1477953	1	1	94743	245384	0
Arizona	6	113990	295234	6	113594	294207	1	48	396	1026	0
Arkansas	29	53179	137732	27	52035	134771	1	31	1143	2961	0
California	3	163695	423967	3	155779	403466	1	6	7916	20501	0
Colorado	8	104094	269601	8	103642	268431	1	44	452	1170	0
Connecticut	48	5543	14357	48	4842	12542	1	38	701	1816	0
Delaware	49	2489	6446	49	1949	5047	1	40	540	1399	0
Florida	22	65758	170312	26	53625	138887	1	3	12133	31424	0
Georgia	24	59425	153910	21	57513	148959	1	22	1912	4951	0
Hawaii	43	10932	28313	47	6423	16635	1	13	4509	11678	0
Idaho	14	83569	216443	11	82643	214045	1	33	926	2398	0
Illinois	25	57914	149995	24	55519	143793	1	19	2395	6202	0
Indiana	38	36420	94326	38	35826	92789	1	39	593	1537	0
Iowa	26	56273	145746	23	55857	144669	1	45	416	1077	0
Kansas	15	82278	213100	13	81759	211754	1	42	520	1346	0
Kentucky	37	40408	104656	37	39486	102269	1	34	921	2387	0
Louisiana	31	52378	135659	33	43204	111898	1	5	9174	23761	0
Maine	39	35380	91633	39	30843	79883	1	12	4537	11750	0
Maryland	42	12406	32131	42	9707	25142	1	18	2699	6990	0
Massachusetts	44	10554	27336	45	7800	20202	1	16	2754	7134	0
Michigan	11	96714	250487	22	56539	146435	1	2	40175	104052	0
Minnesota	12	86936	225163	14	79627	206232	1	9	7309	18930	0
Mississippi	32	48432	125438	31	46923	121531	1	25	1509	3907	0
Missouri	21	69707	180540	18	68742	178040	1	32	965	2501	0
Montana	4	147040	380831	4	145546	376962	1	26	1494	3869	0
Nebraska	16	77348	200330	15	76824	198974	1	41	524	1356	0
Nevada	7	110572	286380	7	109781	284332	1	36	791	2048	0
New Hampshire	46	9349	24214	44	8953	23187	1	47	397	1027	0
New Jersey	47	8723	22591	46	7354	19047	1	27	1368	3544	0
New Mexico	5	121590	314917	5	121298	314161	1	49	292	757	0
New York	27	54555	141297	30	47126	122057	1	7	7429	19240	0
North Carolina	28	53819	139391	29	48618	125920	1	10	5201	13471	0
North Dakota	19	70698	183108	17	69001	178711	1	24	1698	4397	0
Ohio	34	44826	116098	35	40861	105829	1	14	3965	10269	0
Oklahoma	20	69899	181037	19	68595	177660	1	30	1304	3377	0
Oregon	9	98379	254799	10	95988	248608	1	20	2391	6191	0
Pennsylvania	33	46054	119280	32	44743	115883	1	28	1312	3397	0
Rhode Island	50	1545	4001	50	1034	2678	1	43	511	1324	0
South Carolina	40	32020	82933	40	30061	77857	1	21	1960	5076	0
South Dakota	17	77116	199729	16	75811	196350	1	29	1305	3379	0
Tennessee	36	42144	109153	34	41235	106798	1	35	909	2355	0
Texas	2	268596	695662	2	261232	676587	1	8	7365	19075	0
Utah	13	84897	219882	12	82170	212818	1	17	2727	7064	0
Vermont	45	9616	24906	43	9217	23871	1	46	400	1035	0
Virginia	35	42775	110787	36	39490	102279	1	15	3285	8508	0
Washington	18	71298	184661	20	66456	172119	1	11	4842	12542	0
West Virginia	41	24230	62756	41	24038	62259	1	50	192	497	0
Wisconsin	23	65496	169635	25	54158	140268	1	4	11339	29367	0
Wyoming	10	97813	253335	9	97093	251470	1	37	720	1864	0